"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"2823","2010 - Depletion of CD4-positive T-lymphocytes enhances post-stroke endogenous neurogenesis","O. Saino, A. Taguchi, T. Nakagomi, A. Doi, M. Takata, S. I. Kashiwamura, N. Doe and T. Matsuyama",2010,"Depletion of CD4-positive T-lymphocytes enhances post-stroke endogenous neurogenesis","Neuroscience Research","68",NA,"e209","10.1016/j.neures.2010.07.2494",NA,20587
"2824","2010 - Development and analysis of less invasive transient middle cerebral artery occlusion model on Common Marmoset","K. Hara, J. Muto, N. Kaneko, K. Adachi, F. Toyota, K. Hikishima, T. Itoh, K. Sawamoto, T. Kawase, K. Yoshida and H. Okano",2010,"Development and analysis of less invasive transient middle cerebral artery occlusion model on Common Marmoset","Neuroscience Research","68",NA,"e320","10.1016/j.neures.2010.07.1418",NA,20591
"2825","2010 - Diabetes-accelerated memory dysfunction via cerebrovascular inflammation and AÎ² deposition in an Alzheimer mouse model with diabetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2826","2010 - Dietary n-3 polyunsaturated fatty acids increased oxidative stress in rats with intracerebral hemorrhagic stroke","Y. Park",2010,"Dietary n-3 polyunsaturated fatty acids increased oxidative stress in rats with intracerebral hemorrhagic stroke","FASEB Journal","24",NA,NA,NA,NA,20598
"2827","2010 - Dietary supplementation of alpha-linolenic acid in an enriched rapeseed oil diet protects from stroke","C. Nguemeni, B. Delplanque, C. Rovère, N. Simon-Rousseau, C. Gandin, G. Agnani, J. L. Nahon, C. Heurteaux and N. Blondeau",2010,"Dietary supplementation of alpha-linolenic acid in an enriched rapeseed oil diet protects from stroke","Pharmacological Research","61","3","226-233","10.1016/j.phrs.2009.12.007",NA,20599
"2828","2010 - Discovery of the first mAChR 5 (M5) selective ligand, an M5 Positive Allosteric Modulator (PAM)","T. M. Bridges, L. M. Lewis, C. D. Weaver and C. W. Lindsley",2010,"Discovery of the first mAChR 5 (M5) selective ligand, an M5 Positive Allosteric Modulator (PAM)","Probe Reports from the NIH Molecular Libraries Program",NA,NA,NA,NA,NA,20600
"2829","2010 - Down-regulation of Nogo receptor promotes functional recovery by enhancing axonal connectivity after experimental stroke in rats","T. Wang, J. Wang, C. Yin, R. Liu, J. H. Zhang and X. Qin",2010,"Down-regulation of Nogo receptor promotes functional recovery by enhancing axonal connectivity after experimental stroke in rats","Brain Research","1360",NA,"147-158","10.1016/j.brainres.2010.08.101",NA,20603
"2830","2010 - DP-B99, A multi-faceted approach in the treatment of acute ischemic stroke: Focus on MMP9","J. E. Friedman, G. Rosenberg and A. Kozak",2010,"DP-B99, A multi-faceted approach in the treatment of acute ischemic stroke: Focus on MMP9","International Journal of Stroke","5",NA,"15","10.1111/j.1747-4949.2010.00480.x",NA,20604
"2831","2010 - Early reperfusion improves the recovery of contralateral electrophysiological diaschisis following focal cerebral ischemia in rats","Y. C. Hung, Y. S. Chou, C. H. Chang, H. W. Lin, H. Y. Chen, T. Y. Chen, S. H. Tai and E. J. Lee",2010,"Early reperfusion improves the recovery of contralateral electrophysiological diaschisis following focal cerebral ischemia in rats","Neurological Research","32","8","828-834","10.1179/016164109X12581096870032",NA,20608
"2832","2010 - Effect of angiogenesis in focal cerebral ischemia brain tissues treated with Chinese medicine combined with bmscs transplantation","J. Guo",2010,"Effect of angiogenesis in focal cerebral ischemia brain tissues treated with Chinese medicine combined with bmscs transplantation","International Journal of Stroke","5",NA,"74-75","10.1111/j.1747-4949.2010.00480.x",NA,20611
"2833","2010 - Effect of angiotensin II type 1 receptor blocker, candesartan, and beta 1 adrenoceptor blocker, atenolol, on brain damage in ischemic stroke","M. A. Saad, A. M. Abbas, V. Boshra, M. Elkhateeb and I. A. El Aal",2010,"Effect of angiotensin II type 1 receptor blocker, candesartan, and beta 1 adrenoceptor blocker, atenolol, on brain damage in ischemic stroke","Acta Physiol Hung","97","2","159-71","10.1556/APhysiol.97.2010.2.2",NA,20612
"2834","2010 - Effect of combination therapy with sodium ozagrel and panax ginseng on transient cerebral ischemia model in rats","S. I. Park, D. K. Jang, Y. M. Han, Y. Y. Sunwoo, M. S. Park, Y. A. Chung, L. S. Maeng, R. Im, M. W. Kim, S. S. Jeun and K. S. Jang",2010,"Effect of combination therapy with sodium ozagrel and panax ginseng on transient cerebral ischemia model in rats","Journal of Biomedicine and Biotechnology","2010",NA,NA,"10.1155/2010/893401",NA,20615
"2835","2010 - Effect of continuous infusion of asialoerythropoietin on short-term changes in infarct volume, penumbra apoptosis and behaviour following middle cerebral artery occlusion in rats","C. D. Price, Z. Yang, R. Karlnoski, D. Kumar, R. Chaparro and E. M. Camporesi",2010,"Effect of continuous infusion of asialoerythropoietin on short-term changes in infarct volume, penumbra apoptosis and behaviour following middle cerebral artery occlusion in rats","Clinical and Experimental Pharmacology and Physiology","37","2","185-192","10.1111/j.1440-1681.2009.05257.x",NA,20616
"2836","2010 - Effect of electroacupuncture therapy on the expression of Na(v)1.1 and Na(v)1.6 in rat after acute cerebral ischemia","L. Ren, Y. K. Wang, Y. N. Fang, A. W. Zhang and X. L. Li",2010,"Effect of electroacupuncture therapy on the expression of Na(v)1.1 and Na(v)1.6 in rat after acute cerebral ischemia","Neurological Research","32","10","1110-1116","10.1179/016164110X12700393823453",NA,20618
"2837","2010 - Effect of ischemic preconditioning on HSP70 expression and learning/memory after cerebral ischemia-reperfusion in gerbils","J. M. Li, Y. N. Zhao, C. W. An, C. X. Chen, J. Zhu and A. J. Fu",2010,"Effect of ischemic preconditioning on HSP70 expression and learning/memory after cerebral ischemia-reperfusion in gerbils","Academic Journal of Second Military Medical University","31","1","55-59","10.3724/SP.J.1008.2010.00055",NA,20620
"2838","2010 - Effect of liver ischemia-reperfusion injury on postoperative cognitive dysfunction and cerebral IL-1Î² and TNF-Î± expression in elderly rats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2839","2010 - Effect of mastication on functional recoveries after permanent middle cerebral artery occlusion in rats","K. Kawanishi, H. Koshino, Y. Toyoshita, M. Tanaka and T. Hirai",2010,"Effect of mastication on functional recoveries after permanent middle cerebral artery occlusion in rats","J Stroke Cerebrovasc Dis","19","5","398-403","10.1016/j.jstrokecerebrovasdis.2009.07.011",NA,20623
"2840","2010 - Effect of mycophenolate mofetil on behavioural and neuroimaging outcomes in transient focal cerebral ischemia in rats","A. Chauhan, K. H. Reeta, Y. K. Gupta, S. K. Mewar, U. Sharma and N. R. Jagannathan",2010,"Effect of mycophenolate mofetil on behavioural and neuroimaging outcomes in transient focal cerebral ischemia in rats","European Neuropsychopharmacology","20",NA,"S246","10.1016/S0924-977X(10)70307-2",NA,20626
"2841","2010 - Effect of rosiglitazone on changes of learning and memory ability in type 3 diabetes mellitus (t3dm) rats","R. Wang, X. H. Meng and Z. Zhao",2010,"Effect of rosiglitazone on changes of learning and memory ability in type 3 diabetes mellitus (t3dm) rats","International Journal of Stroke","5",NA,"145-146","10.1111/j.1747-4949.2010.00480.x",NA,20628
"2842","2010 - Effect of yokukansan on the sleep disturbance of an animal model for cerebrovascular dementia","A. Nogami, K. Takasaki, M. Nagao, N. Uchida, Y. Sakata, S. Katsurabayashi, K. Kubota, K. Mishima, K. Iwasaki, R. Nishimura and M. Fujiwara",2010,"Effect of yokukansan on the sleep disturbance of an animal model for cerebrovascular dementia","International Journal of Neuropsychopharmacology","13",NA,"139-140","10.1017/S1461145710000635",NA,20632
"2843","2010 - Effect of Yokukansan, a traditional Japanese medicine, on cholinergic involvement and memory disturbunse in Alzheimer's disease model of rats","N. Uchida, A. Nogami, K. Takasaki, Y. Sakata, K. Iwasaki, M. Fujiwara and R. Nishimura",2010,"Effect of Yokukansan, a traditional Japanese medicine, on cholinergic involvement and memory disturbunse in Alzheimer's disease model of rats","International Journal of Neuropsychopharmacology","13",NA,"141","10.1017/S1461145710000635",NA,20633
"2844","2010 - Effectiveness of B vitamins on the control of hypertension and stroke events of SHRSP rats","C. F. França and L. M. Vianna",2010,"Effectiveness of B vitamins on the control of hypertension and stroke events of SHRSP rats","Journal of Dietary Supplements","7","1","71-77","10.3109/19390210903535035",NA,20634
"2845","2010 - Effects of adaptogens on the central nervous system and the molecular mechanisms associated with their stress - Protective activity","A. Panossian and G. Wikman",2010,"Effects of adaptogens on the central nervous system and the molecular mechanisms associated with their stress - Protective activity","Pharmaceuticals","3","1","188-224","10.3390/ph3010188",NA,20636
"2846","2010 - Effects of apigenin on caveolin-1 expression of focal cerebral ischemia-reperfusion in rats","W. Z. Niu, X. M. Li, G. Wang, X. Han and X. Chen",2010,"Effects of apigenin on caveolin-1 expression of focal cerebral ischemia-reperfusion in rats","Chinese Traditional and Herbal Drugs","41","10","1658-1662",NA,NA,20638
"2847","2010 - Effects of brain-derived neurotrophic factor on local inflammation in experimental stroke of rat","Y. Jiang, N. Wei, J. Zhu, T. Lu, Z. Chen, G. Xu and X. Liu",2010,"Effects of brain-derived neurotrophic factor on local inflammation in experimental stroke of rat","Mediators Inflamm","2010",NA,"372423","10.1155/2010/372423","PMC3068595",20639
"2848","2010 - Effects of ethanol on neurons in the orbitofrontal cortex","K. A. Badanich and J. J. Woodward",2010,"Effects of ethanol on neurons in the orbitofrontal cortex","Alcoholism: Clinical and Experimental Research","34","6","138A","10.1111/j.1530-0277.2010.01210.x",NA,20646
"2849","2010 - Effects of fenofibrate on global cerebral ischemia/reperfusion injury in rats","Y. L. Zhang and J. Q. Yang",2010,"Effects of fenofibrate on global cerebral ischemia/reperfusion injury in rats","Chinese Pharmacological Bulletin","26","3","320-324",NA,NA,20648
"2850","2010 - Effects of G-CSF treatment on neutrophil mobilization and neurological outcome after transient focal ischemia","J. K. Strecker, S. Sevimli, M. Schilling, R. Klocke, S. Nikol, A. Schneider and W. R. Schabitz",2010,"Effects of G-CSF treatment on neutrophil mobilization and neurological outcome after transient focal ischemia","Exp Neurol","222","1","108-13","10.1016/j.expneurol.2009.12.012",NA,20651
"2851","2010 - Effects of granulocyte-colony stimulating factor after stroke in aged rats","A. Popa-Wagner, K. Stöcker, A. T. Balseanu, A. Rogalewski, K. Diederich, J. Minnerup, C. Margaritescu and W. R. Schäbitz",2010,"Effects of granulocyte-colony stimulating factor after stroke in aged rats","Stroke","41","5","1027-1031","10.1161/STROKEAHA.109.575621",NA,20653
"2852","2010 - Effects of granulocyte-colony stimulating factor after stroke in aged rats","A. Popa-Wagner, K. Stoecker, A. T. Balseanu, A. Rogalewski, K. Diederich, J. Minnerup, C. Margaritescu and W. Schabitz",2010,"Effects of granulocyte-colony stimulating factor after stroke in aged rats","Stroke","41","4","e352","10.1161/01.str.0000366115.56266.0a",NA,20652
"2853","2010 - Effects of hemodilution after iraumatic brain injury in juvenile rats","G. Bertolizio, L. Mason, S. Ashwal, B. Bissonnette and A. Obenaus",2010,"Effects of hemodilution after iraumatic brain injury in juvenile rats","Journal of Neurosurgical Anesthesiology","22","4","426","10.1097/ANA.0b013e3181f25137",NA,20654
"2854","2010 - Effects of long term nitrite therapy on functional recovery in experimental ischemia model","K. H. Jung, K. Chu, S. T. Lee, J. S. Sunwoo, D. K. Park, J. H. Kim, S. Kim, S. K. Lee, M. Kim and J. K. Roh",2010,"Effects of long term nitrite therapy on functional recovery in experimental ischemia model","Biochemical and Biophysical Research Communications","403","1","66-72","10.1016/j.bbrc.2010.10.116",NA,20655
"2855","2010 - Effects of longterm nitrite therapy on functional recovery in experimental ischemia model","K. H. Jung, K. Chu, S. T. Lee, D. K. Park, D. Jeon, J. H. Kim, S. Kim, S. K. Lee, M. Kim and J. K. Roh",2010,"Effects of longterm nitrite therapy on functional recovery in experimental ischemia model","International Journal of Stroke","5",NA,"92","10.1111/j.1747-4949.2010.00480.x",NA,20656
"2856","2010 - Effects of metformin in experimental stroke","J. Li, S. E. Benashski, V. R. Venna and L. D. McCullough",2010,"Effects of metformin in experimental stroke","Stroke","41","11","2645-2652","10.1161/STROKEAHA.110.589697",NA,20659
"2857","2010 - Effects of neural stem cell transplantation on hippocampus synaptophysin expression and learning memory abilities of Alzheimer disease rats","C. Yang, H. Zhou, L. L. Bai, S. C. Wang and Q. Zhang",2010,"Effects of neural stem cell transplantation on hippocampus synaptophysin expression and learning memory abilities of Alzheimer disease rats","Journal of Clinical Rehabilitative Tissue Engineering Research","14","10","1803-1807","10.3969/j.issn.1673-8225.2010.10.019",NA,20660
"2858","2010 - Effects of resveratrol on scopolamine and mecamylamine induced memory impairment in rats","N. Gacar, T. Utkan, O. Mutlu, S. S. Göc¸mez, I. Komsuoglu Celikyurt and G. Ulak",2010,"Effects of resveratrol on scopolamine and mecamylamine induced memory impairment in rats","European Neuropsychopharmacology","20",NA,"S565","10.1016/S0924-977X(10)70854-3",NA,20663
"2859","2010 - Efficacy and safety profile of the carotenoid trans sodium crocetinate administered to rabbits following multiple infarct ischemic strokes: A combination therapy study with tissue plasminogen activator","P. A. Lapchak",2010,"Efficacy and safety profile of the carotenoid trans sodium crocetinate administered to rabbits following multiple infarct ischemic strokes: A combination therapy study with tissue plasminogen activator","Brain Research","1309",NA,"136-145","10.1016/j.brainres.2009.10.067",NA,20666
"2860","2010 - Electroacupuncture at Baihui acupoint (GV20) reverses behavior deficit and long-term potentiation through N-methyl-D-aspartate and transient receptor potential vanilloid subtype 1 receptors in middle cerebral artery occlusion rats","Y. W. Lin and C. L. Hsieh",2010,"Electroacupuncture at Baihui acupoint (GV20) reverses behavior deficit and long-term potentiation through N-methyl-D-aspartate and transient receptor potential vanilloid subtype 1 receptors in middle cerebral artery occlusion rats","Journal of Integrative Neuroscience","9","3","269-282","10.1142/S0219635210002433",NA,20667
"2861","2010 - Electroacupuncture pretreatment ameliorates hypergravity-induced impairment of learning and memory and apoptosis of hippocampal neurons in rats","S. Feng, Q. Wang, H. Wang, Y. Peng, L. Wang, Y. Lu, T. Shi and L. Xiong",2010,"Electroacupuncture pretreatment ameliorates hypergravity-induced impairment of learning and memory and apoptosis of hippocampal neurons in rats","Neuroscience Letters","478","3","150-155","10.1016/j.neulet.2010.05.006",NA,20668
"2862","2010 - Elimination of neurobehavioral consequences of focal brain ischemia by gaba containing plants","T. S. Margaryan, S. T. Karamyan, A. T. Ghochikyan and H. V. Topchyan",2010,"Elimination of neurobehavioral consequences of focal brain ischemia by gaba containing plants","New Armenian Medical Journal","4","3","111",NA,NA,20669
"2863","2010 - Endogenous tissue plasminogen activator is essential for the functional benefit of bone marrow stromal cell treatment of stroke in mice","L. Shen, H. Xin, Y. Li, Y. Cui, L. Zhang and M. Chopp",2010,"Endogenous tissue plasminogen activator is essential for the functional benefit of bone marrow stromal cell treatment of stroke in mice","Stroke","41","4","e386","10.1161/01.str.0000366115.56266.0a",NA,20670
"2864","2010 - Endothelial progenitor cell transplantation improves long-term stroke outcome in mice","Y. Fan, F. Shen, T. Frenzel, W. Zhu, J. Ye, J. Liu, Y. Chen, H. Su, W. L. Young and G. Y. Yang",2010,"Endothelial progenitor cell transplantation improves long-term stroke outcome in mice","Annals of Neurology","67","4","488-497","10.1002/ana.21919",NA,20671
"2865","2010 - Enhanced oligodendrogenesis and recovery of neurological function by erythropoietin after neonatal hypoxic/ischemic brain injury","M. Iwai, R. A. Stetler, J. Xing, X. Hu, Y. Gao, W. Zhang, J. Chen and G. Cao",2010,"Enhanced oligodendrogenesis and recovery of neurological function by erythropoietin after neonatal hypoxic/ischemic brain injury","Stroke","41","5","1032-1037","10.1161/STROKEAHA.109.570325",NA,20674
"2866","2010 - Enriched environment provides neuroprotection via BDNF mediated PI3 kinase pathway activation","V. Jain and G. Ilavazhagan",2010,"Enriched environment provides neuroprotection via BDNF mediated PI3 kinase pathway activation","Australian and New Zealand Journal of Psychiatry","44",NA,"A51-A52","10.3109/00048674.2010.507066",NA,20676
"2867","2010 - Epigenetic chromatin modifications in the cortical spreading depression","D. Passaro, G. Rana, M. Piscopo, E. Viggiano, B. De Luca and L. Fucci",2010,"Epigenetic chromatin modifications in the cortical spreading depression","Brain Res","1329",NA,"43709","10.1016/j.brainres.2010.03.001",NA,20678
"2868","2010 - Erythropoietin attenuates experimental cerebral amyloid angiopathy","S. T. Lee, K. Chu, K. H. Jung, J. E. Park, S. K. Lee, M. Kim and J. K. Roh",2010,"Erythropoietin attenuates experimental cerebral amyloid angiopathy","International Journal of Stroke","5",NA,"136-137","10.1111/j.1747-4949.2010.00480.x",NA,20683
"2869","2010 - Establishing a model of supratentorial hemorrhage in the piglet","Y. Shi, Z. Li, S. Zhang, M. Xie, X. Meng, J. Xu, N. Liu and Z. Tang",2010,"Establishing a model of supratentorial hemorrhage in the piglet","Tohoku Journal of Experimental Medicine","220","1","33-40","10.1620/tjem.220.33",NA,20686
"2870","2010 - European Neuroscience--Seventh Biennial FENS Forum","A. J. Hannan",2010,"European Neuroscience--Seventh Biennial FENS Forum","IDrugs","13","9","607-9",NA,NA,20688
"2871","2010 - Evaluation of a novel model of forced use movement therapy in a rat model of unilateral forelimb impairment","J. M. Livingston-Thomas, T. Doucette and A. Tasker",2010,"Evaluation of a novel model of forced use movement therapy in a rat model of unilateral forelimb impairment","Stroke","41","7","e498","10.1161/STR.0b013e3181e6c862",NA,20689
"2872","2010 - Evaluation of sensorimotor function in experimental cerebral ischemia","N. Wei, D. H. Hao and Y. Y. Zhang",2010,"Evaluation of sensorimotor function in experimental cerebral ischemia","Chinese Pharmacological Bulletin","26","11","1410-1414",NA,NA,20691
"2873","2010 - Exercise and PD","G. Petzinger",2010,"Exercise and PD","Movement Disorders","25",NA,"S599-S600","10.1002/mds.23386",NA,20693
"2874","2010 - Experimental and preliminary clinical evidence of an ischemic zone with prolonged negative DC shifts surrounded by a normally perfused tissue belt with persistent electrocorticographic depression","A. I. Oliveira-Ferreira, D. Milakara, M. Alam, D. Jorks, S. Major, J. A. Hartings, J. Luckl, P. Martus, R. Graf, C. Dohmen, G. Bohner, J. Woitzik and J. P. Dreier",2010,"Experimental and preliminary clinical evidence of an ischemic zone with prolonged negative DC shifts surrounded by a normally perfused tissue belt with persistent electrocorticographic depression","J Cereb Blood Flow Metab","30","8","1504-19","10.1038/jcbfm.2010.40","PMC2949249",20695
"2875","2010 - Experimental cerebral ischemia: the contribution of the Bethesda Group","T. Kuroiwa",2010,"Experimental cerebral ischemia: the contribution of the Bethesda Group","Acta Neurochir Suppl","106",NA,"43725","10.1007/978-3-211-98811-4_2",NA,20696
"2876","2010 - Experimental treatment of focal cerebral ischemia by intravenous administration of autologous bone marrow cells in ovine stroke model","J. Boltze, H. Barthel, D. Lobsien, A. Dreyer, T. Von Geymüller, O. Sabri, V. Zeisig, A. Förschler, K. T. Hoffmann and B. Nitzsche",2010,"Experimental treatment of focal cerebral ischemia by intravenous administration of autologous bone marrow cells in ovine stroke model","International Journal of Stroke","5",NA,"126-127","10.1111/j.1747-4949.2010.00480.x",NA,20700
"2877","2010 - Expression of the Na-K-Cl cotransporter differs in young and aging mice after stroke","F. Liu, P. Akella, S. E. Benashski, Y. Xu and L. D. McCullough",2010,"Expression of the Na-K-Cl cotransporter differs in young and aging mice after stroke","Stroke","41","4","e372","10.1161/01.str.0000366115.56266.0a",NA,20702
"2878","2010 - Extension of the neuroprotective time window for thiazolidinediones in ischemic stroke is dependent on time of reperfusion","J. Gamboa, D. A. Blankenship, J. P. Niemi, G. E. Landreth, M. Karl, E. Hilow and S. Sundararajan",2010,"Extension of the neuroprotective time window for thiazolidinediones in ischemic stroke is dependent on time of reperfusion","Neuroscience","170","3","846-57","10.1016/j.neuroscience.2010.07.063","PMC2939146",20703
"2879","2010 - Failure of deferoxamine, an iron chelator, to improve outcome after collagenase-induced intracerebral hemorrhage in rats","L. M. Warkentin, A. M. Auriat, S. Wowk and F. Colbourne",2010,"Failure of deferoxamine, an iron chelator, to improve outcome after collagenase-induced intracerebral hemorrhage in rats","Brain Research","1309",NA,"95-103","10.1016/j.brainres.2009.10.058",NA,20705
"2880","2010 - Focused Conference Group: P15 - Endothelium in health and disease importance of cerebrovascular vasoconstrictor receptor upregulation for the long-term outcome of experimental subarachnoid hemorrhage in rats","G. K. Povlsen, S. Johansson, C. Larsen and L. Edvinsson",2010,"Focused Conference Group: P15 - Endothelium in health and disease importance of cerebrovascular vasoconstrictor receptor upregulation for the long-term outcome of experimental subarachnoid hemorrhage in rats","Basic and Clinical Pharmacology and Toxicology","107",NA,"531","10.1111/j.1742-7843.2010.00600.x",NA,20710
"2881","2010 - Focused Conference Group: P15 - Endothelium in health and disease the difference in cerebrovascular effects of afobazol and nimodipin under the conditions of combined cardiac and cerebral vascular pathology","T. Ganshina, R. Mirzoyan, N. Khaylov and S. Seredenin",2010,"Focused Conference Group: P15 - Endothelium in health and disease the difference in cerebrovascular effects of afobazol and nimodipin under the conditions of combined cardiac and cerebral vascular pathology","Basic and Clinical Pharmacology and Toxicology","107",NA,"292","10.1111/j.1742-7843.2010.00600.x",NA,20711
"2882","2010 - Focused Conference Group: P16 - Natural products: Past and future? WNK improves learning and memory by modulating the neurotransmitter levels in rats and mice with vascular demantia","L. Xu, J. X. Liu and W. H. Cong",2010,"Focused Conference Group: P16 - Natural products: Past and future? WNK improves learning and memory by modulating the neurotransmitter levels in rats and mice with vascular demantia","Basic and Clinical Pharmacology and Toxicology","107",NA,"666","10.1111/j.1742-7843.2010.00600.x",NA,20712
"2883","2010 - Focused Conference Group: P17 - Newapproaches and targets in psychiatry multitarget effects of anxiolytic afobazol","S. Seredenin, M. Voronin and M. Yarkova",2010,"Focused Conference Group: P17 - Newapproaches and targets in psychiatry multitarget effects of anxiolytic afobazol","Basic and Clinical Pharmacology and Toxicology","107",NA,"569","10.1111/j.1742-7843.2010.00600.x",NA,20713
"2884","2010 - Focused Conference Group: PW19 - Influence of degeneration and repair in the CNS and periphery angiotensin II type 1 (AT1) receptor blocker, telmisartan, protects brain damage induced by ischemia and amyloid-BA injection partly due to PPAR-C activation","M. Mogi, J. Iwanami, K. Tsukuda and M. Horiuchi",2010,"Focused Conference Group: PW19 - Influence of degeneration and repair in the CNS and periphery angiotensin II type 1 (AT1) receptor blocker, telmisartan, protects brain damage induced by ischemia and amyloid-BA injection partly due to PPAR-C activation","Basic and Clinical Pharmacology and Toxicology","107",NA,"464","10.1111/j.1742-7843.2010.00600.x",NA,20714
"2885","2010 - Forced treadmill exercise alters neuronal cell population in the striatum after transient focal cerebral ischema in rats","Y. W. Choi, S. G. Kang and K. Y. Kam",2010,"Forced treadmill exercise alters neuronal cell population in the striatum after transient focal cerebral ischema in rats","Journal of Neurochemistry","115",NA,"21","10.1111/j.1471-4159.2010.06942.x",NA,20715
"2886","2010 - Functional assessments in the rodent stroke model","K. L. Schaar, M. M. Brenneman and S. I. Savitz",2010,"Functional assessments in the rodent stroke model","Experimental and Translational Stroke Medicine","2","1",NA,"10.1186/2040-7378-2-13",NA,20718
"2887","2010 - Functional improvement of focal cerebral ischemia injury by subdural transplantation of induced pluripotent stem cells with fibrin glue","S. J. Chen, C. M. Chang, S. K. Tsai, Y. L. Chang, S. J. Chou, S. S. Huang, L. K. Tai, Y. C. Chen, H. H. Ku, H. Y. Li and S. H. Chiou",2010,"Functional improvement of focal cerebral ischemia injury by subdural transplantation of induced pluripotent stem cells with fibrin glue","Stem Cells and Development","19","11","1757-1767","10.1089/scd.2009.0452",NA,20720
"2888","2010 - Galanin systems and ischemia: peptide and receptor plasticity in neurons and oligodendroglial precursors","P. J. Shen and A. L. Gundlach",2010,"Galanin systems and ischemia: peptide and receptor plasticity in neurons and oligodendroglial precursors","Exs","102",NA,"209-21",NA,NA,20723
"2889","2010 - Genetic influences on neural plasticity","K. M. Pearson-Fuhrhop and S. C. Cramer",2010,"Genetic influences on neural plasticity","PM & R : the journal of injury, function, and rehabilitation","2","12 Suppl 2","S227-240",NA,NA,20726
"2890","2010 - Heart rate reduction with ivabradine protects from focal brain ischemia, restores endothelial function and reduces vascular oxidative stress in mice exposed to chronic mental stress","F. Custodis, K. Gertz, V. Prinz, M. Balkaya, M. Boehm, M. Endres and U. Laufs",2010,"Heart rate reduction with ivabradine protects from focal brain ischemia, restores endothelial function and reduces vascular oxidative stress in mice exposed to chronic mental stress","European Heart Journal","31",NA,"700-701","10.1093/eurheartj/ehq289",NA,20733
"2891","2010 - Heme oxygenase 1: Another possible target to explain the neuroprotective action of resveratrol, a multifaceted nutrient-based molecule","S. Bastianetto and R. Quirion",2010,"Heme oxygenase 1: Another possible target to explain the neuroprotective action of resveratrol, a multifaceted nutrient-based molecule","Experimental Neurology","225","2","237-239","10.1016/j.expneurol.2010.06.019",NA,20734
"2892","2010 - Hesperidin pre-treatment attenuates NO-mediated cerebral ischemic reperfusion injury and memory dysfunction","V. Gaur and A. Kumar",2010,"Hesperidin pre-treatment attenuates NO-mediated cerebral ischemic reperfusion injury and memory dysfunction","Pharmacological Reports","62","4","635-648",NA,NA,20736
"2893","2010 - Housing environment and sex affect behavioral recovery from ischemic brain damage","D. M. Saucier, J. Y. Yager and E. A. Armstrong",2010,"Housing environment and sex affect behavioral recovery from ischemic brain damage","Behavioural Brain Research","214","1","48-54","10.1016/j.bbr.2010.04.039",NA,20739
"2894","2010 - HSP70 overexpression protects against hemorrhage and impaired motor recovery after traumatic brain injury","J. Y. Kim, L. J. Noble-Haeusslein and M. A. Yenari",2010,"HSP70 overexpression protects against hemorrhage and impaired motor recovery after traumatic brain injury","Annals of Neurology","68",NA,"S31-S32","10.1002/ana.22175",NA,20741
"2895","2010 - Human microglia transplanted in rat focal ischemia brain induce neuroprotection and behavioral improvement","D. Narantuya, A. Nagai, A. M. Sheikh, J. Masuda, S. Kobayashi, S. Yamaguchi and S. U. Kim",2010,"Human microglia transplanted in rat focal ischemia brain induce neuroprotection and behavioral improvement","PLoS One","5","7","e11746","10.1371/journal.pone.0011746","PMC2909196",20742
"2896","2010 - Human neural stem cells genetically modified to overexpress brain-derived neurotrophic factor promote functional recovery and neuroprotection in a mouse stroke model","H. J. Lee, I. J. Lim, M. C. Lee and S. U. Kim",2010,"Human neural stem cells genetically modified to overexpress brain-derived neurotrophic factor promote functional recovery and neuroprotection in a mouse stroke model","Journal of Neuroscience Research","88","15","3282-3294","10.1002/jnr.22474",NA,20745
"2897","2010 - Human umbilical cord blood (HUCB) cells protect neurons by altering the neuronal gene expression profile","M. Shahaduzzaman, J. E. Golden, S. M. Green, D. Rowe, K. R. Pennypacker and A. E. Willing",2010,"Human umbilical cord blood (HUCB) cells protect neurons by altering the neuronal gene expression profile","Cell Transplantation","19","3","361","10.3727/096368910X495370",NA,20746
"2898","2010 - Human urinary kallidinogenase suppresses cerebral inflammation in experimental stroke and downregulates nuclear factor-kappaB","Z. B. Chen, D. Q. Huang, F. N. Niu, X. Zhang, E. G. Li and Y. Xu",2010,"Human urinary kallidinogenase suppresses cerebral inflammation in experimental stroke and downregulates nuclear factor-kappaB","J Cereb Blood Flow Metab","30","7","1356-65","10.1038/jcbfm.2010.19","PMC2949229",20747
"2899","2010 - Hyperbaric oxygen therapy improves neurogenesis and brain blood supply in piriform cortex in rats with vascular dementia","T. Zhang, Q. W. Yang, S. N. Wang, J. Z. Wang, Q. Wang, Y. Wang and Y. J. Luo",2010,"Hyperbaric oxygen therapy improves neurogenesis and brain blood supply in piriform cortex in rats with vascular dementia","Brain Injury","24","11","1350-1357","10.3109/02699052.2010.504525",NA,20749
"2900","2010 - Icariin protects against brain injury by enhancing SIRT1-dependent PGC-1Î± Expression in experimental stroke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
